FECHA,Tipo de Cambio,Superior,Regular,Diesel,Bunker,GLP CILINDRO,GLP LIBRAS
28-oct-21,7.73647,30.98,30.28,26.49,19.22,132.0,5.28
29-oct-21,7.73464,30.98,30.28,26.49,19.22,132.0,5.28
30-oct-21,7.73464,30.98,30.28,26.49,19.22,132.0,5.28
31-oct-21,7.73464,30.98,30.28,26.49,19.22,132.0,5.28
1-nov-21,7.73464,30.98,30.28,26.49,19.22,138.67,5.55
2-nov-21,7.73554,30.98,30.28,26.48,18.95,138.67,5.55
3-nov-21,7.73091,30.98,30.28,26.48,18.95,138.67,5.55
4-nov-21,7.73206,30.98,30.28,26.48,18.95,138.67,5.55
5-nov-21,7.73221,30.98,30.28,26.48,18.95,138.67,5.55
6-nov-21,7.73221,30.98,30.28,26.48,18.95,138.67,5.55
7-nov-21,7.73221,30.98,30.28,26.48,18.95,138.67,5.55
8-nov-21,7.72991,30.99,30.3,26.49,18.45,138.67,5.55
9-nov-21,7.72837,30.99,30.3,26.49,18.45,138.67,5.55
10-nov-21,7.72687,30.99,30.3,26.49,18.45,138.67,5.55
11-nov-21,7.7275,30.99,30.3,26.49,18.45,138.67,5.55
12-nov-21,7.73171,30.99,30.3,26.49,18.45,138.67,5.55
13-nov-21,7.73171,30.99,30.3,26.49,18.45,138.67,5.55
14-nov-21,7.73171,30.99,30.3,26.49,18.45,138.67,5.55
15-nov-21,7.72977,30.63,29.93,26.12,18.3,138.67,5.55
16-nov-21,7.72696,30.63,29.93,26.12,18.3,138.67,5.55
17-nov-21,7.7329,30.63,29.93,26.12,18.3,138.67,5.55
18-nov-21,7.73088,30.63,29.93,26.12,18.3,138.67,5.55
19-nov-21,7.73298,30.63,29.93,26.12,18.3,138.67,5.55
20-nov-21,7.73298,30.63,29.93,26.12,18.3,138.67,5.55
21-nov-21,7.73298,30.63,29.93,26.12,18.3,138.67,5.55
22-nov-21,7.7254,30.01,29.32,25.7,18.45,138.67,5.55
23-nov-21,7.72921,30.01,29.32,25.7,18.45,138.67,5.55
24-nov-21,7.73146,30.01,29.32,25.7,18.45,138.67,5.55
25-nov-21,7.73144,30.01,29.32,25.7,18.45,138.67,5.55
26-nov-21,7.73483,30.01,29.32,25.7,18.45,138.67,5.55
27-nov-21,7.73483,30.01,29.32,25.7,18.45,138.67,5.55
28-nov-21,7.73483,30.01,29.32,25.7,18.45,138.67,5.55
29-nov-21,7.73149,29.78,29.07,25.33,17.95,138.67,5.55
30-nov-21,7.73058,29.78,29.07,25.33,17.95,138.67,5.55
1-dic-21,7.73219,29.78,29.07,25.33,17.95,122.0,4.88
2-dic-21,7.7308,29.78,29.07,25.33,17.95,122.0,4.88
3-dic-21,7.73654,29.78,29.07,25.33,17.95,122.0,4.88
4-dic-21,7.73654,29.78,29.07,25.33,17.95,122.0,4.88
5-dic-21,7.73654,29.78,29.07,25.33,17.95,122.0,4.88
6-dic-21,7.72819,28.82,28.1,24.36,16.95,122.0,4.88
7-dic-21,7.72825,28.82,28.1,24.36,16.95,122.0,4.88
8-dic-21,7.7317,28.82,28.1,24.36,16.95,122.0,4.88
9-dic-21,7.7286,28.82,28.1,24.36,16.95,122.0,4.88
10-dic-21,7.73244,28.82,28.1,24.36,16.95,122.0,4.88
11-dic-21,7.73244,28.82,28.1,24.36,16.95,122.0,4.88
12-dic-21,7.73244,28.82,28.1,24.36,16.95,122.0,4.88
13-dic-21,7.7276,28.78,28.06,24.28,16.95,122.0,4.88
